Birmingham City 0, Middlesbrough 3
Burnley 1, Wolverhampton Wanderers 2
Chelsea 0, Carlisle United 2
Everton 0, Derby County 0
Leicester City 0, Arsenal 1
Luton Town 1, Liverpool 2
Manchester City 4, West Ham United 0
Newcastle United 3, Coventry City 2
Sheffield United 1, Queens Park Rangers 1
Stoke City 3, Leeds United 0
Tottenham Hotspur 0, Ipswich Town 1
West Ham United 2, Luton Town 0
Arsenal 0, Ipswich Town 1
Birmingham City 3, Leicester City 4
Everton 2, Stoke City 1
Middlesbrough 0, Carlisle United 2
Wolverhampton Wanderers 0, Liverpool 0
Chelsea 3, Burnley 3
Derby County 1, Coventry City 1
Leeds United 0, Queens Park Rangers 1
Manchester City 1, Tottenham Hotspur 0
Newcastle United 2, Sheffield United 2
Arsenal 4, Manchester City 0
Carlisle United 1, Tottenham Hotspur 0
Coventry City 1, Chelsea 3
Derby County 2, Sheffield United 0
Ipswich Town 2, Burnley 0
Leeds United 1, Birmingham City 0
Liverpool 2, Leicester City 1
Middlesbrough 1, Luton Town 1
Queens Park Rangers 0, Stoke City 1
West Ham United 2, Everton 3
Wolverhampton Wanderers 4, Newcastle United 2
Burnley 1, Chelsea 2
Carlisle United 0, Middlesbrough 1
Coventry City 1, Derby County 1
Ipswich Town 3, Arsenal 0
Liverpool 2, Wolverhampton Wanderers 0
Queens Park Rangers 1, Leeds United 1
Sheffield United 2, Newcastle United 1
Leicester City 1, Birmingham City 1
Luton Town 0, West Ham United 0
Stoke City 1, Everton 1
Tottenham Hotspur 1, Manchester City 2
Birmingham City 1, Wolverhampton Wanderers 1
Burnley 3, Coventry City 0
Chelsea 0, Liverpool 3
Everton 2, Arsenal 1
Leicester City 1, Carlisle United 1
Luton Town 1, Queens Park Rangers 1
Manchester City 2, Leeds United 1
Newcastle United 2, West Ham United 0
Sheffield United 3, Ipswich Town 1
Stoke City 1, Middlesbrough 1
Tottenham Hotspur 2, Derby County 0
Arsenal 0, Burnley 1
Carlisle United 0, Stoke City 2
Coventry City 2, Manchester City 2
Derby County 2, Newcastle United 2
Ipswich Town 1, Everton 0
Leeds United 1, Luton Town 1
Liverpool 5, Tottenham Hotspur 2
Middlesbrough 1, Chelsea 1
Queens Park Rangers 0, Birmingham City 1
West Ham United 1, Sheffield United 2
Wolverhampton Wanderers 1, Leicester City 1
Birmingham City 3, Derby County 2
Burnley 2, Leeds United 1
Chelsea 0, Arsenal 0
Everton 0, Wolverhampton Wanderers 0
Leicester City 3, Queens Park Rangers 1
Luton Town 1, Ipswich Town 4
Manchester City 2, Liverpool 0
Newcastle United 1, Carlisle United 0
Sheffield United 1, Middlesbrough 0
Stoke City 2, Coventry City 0
Tottenham Hotspur 2, West Ham United 1
Arsenal 2, Luton Town 2
Carlisle United 1, Birmingham City 0
Coventry City 1, Everton 1
Derby County 3, Burnley 2
Ipswich Town 2, Chelsea 0
Leeds United 5, Sheffield United 1
Liverpool 3, Stoke City 0
Middlesbrough 3, Manchester City 0
Queens Park Rangers 1, Newcastle United 2
West Ham United 6, Leicester City 2
Wolverhampton Wanderers 2, Tottenham Hotspur 3
Carlisle United 0, Manchester City 0
Coventry City 2, Luton Town 1
Ipswich Town 3, Stoke City 1
Liverpool 0, Burnley 1
Queens Park Rangers 2, Everton 2
Wolverhampton Wanderers 1, Sheffield United 1
Derby County 4, Chelsea 1
West Ham United 3, Birmingham City 0
Birmingham City 3, Arsenal 1
Burnley 3, West Ham United 5
Chelsea 0, Wolverhampton Wanderers 1
Everton 3, Leeds United 2
Leicester City 0, Coventry City 1
Luton Town 3, Carlisle United 1
Manchester City 1, Queens Park Rangers 0
Newcastle United 1, Ipswich Town 0
Sheffield United 1, Liverpool 0
Stoke City 1, Derby County 1
Tottenham Hotspur 1, Middlesbrough 2
